Ano,Linguagem,Popularidade (%)
2020,Python,18.2
2020,Java,16.5
2020,C,15.7
2020,C++,12.1
2020,JavaScript,10.2
2020,C#,8.3
2021,Python,20.3
2021,Java,15.9
2021,C,15.2
2021,C++,12.4
2021,JavaScript,10.7
2021,C#,8.5
2022,Python,22.7
2022,Java,15.3
2022,C,14.9
2022,C++,12.6
2022,JavaScript,11.2
2022,C#,8.7
2023,Python,24.5
2023,Java,15.8
2023,C,14.5
2023,C++,12.8
2023,JavaScript,11.5
2023,C#,8.9
2024,Python,26.4
2024,Java,16.2
2024,C,14.2
2024,C++,12.5
2024,JavaScript,11.0
2024,C#,8.1
2025,Python,28.2
2025,Java,16.5
2025,C,14.0
2025,C++,12.3
2025,JavaScript,10.7
2025,C#,7.5
